Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001015,Male,Yes,0,Graduate,No,5720,110,360,1,Urban,Y
LP001022,Male,Yes,1,Graduate,No,3076,126,360,1,Urban,N
LP001031,Male,Yes,2,Graduate,No,5000,208,360,1,Urban,Y
LP001035,Male,Yes,2,Graduate,No,2340,100,360,,Urban,Y
LP001051,Male,No,0,Not Graduate,No,3276,78,360,1,Urban,Y
LP001054,Male,Yes,0,Not Graduate,Yes,2165,152,360,1,Urban,Y
LP001055,Female,No,1,Not Graduate,No,2226,59,360,1,Semiurban,Y
LP001056,Male,Yes,2,Not Graduate,No,3881,147,360,0,Rural,N
LP001059,Male,Yes,2,Graduate,,13633,280,240,1,Urban,Y
LP001067,Male,No,0,Not Graduate,No,2400,123,360,1,Semiurban,N
LP001078,Male,No,0,Not Graduate,No,3091,90,360,1,Urban,Y
LP001082,Male,Yes,1,Graduate,,2185,162,360,1,Semiurban,Y
LP001083,Male,No,3+,Graduate,No,4166,40,180,,Urban,Y
LP001094,Male,Yes,2,Graduate,,12173,166,360,0,Semiurban,N
LP001096,Female,No,0,Graduate,No,4666,124,360,1,Semiurban,Y
LP001099,Male,No,1,Graduate,No,5667,131,360,1,Urban,Y
LP001105,Male,Yes,2,Graduate,No,4583,200,360,1,Urban,Y
LP001107,Male,Yes,3+,Graduate,No,3786,126,360,1,Semiurban,N
LP001108,Male,Yes,0,Graduate,No,9226,300,360,1,Urban,N
LP001115,Male,No,0,Graduate,No,1300,100,180,1,Semiurban,Y
LP001121,Male,Yes,1,Not Graduate,No,1888,48,360,1,Urban,N
LP001124,Female,No,3+,Not Graduate,No,2083,28,180,1,Urban,Y
LP001128,,No,0,Graduate,No,3909,101,360,1,Urban,N
LP001135,Female,No,0,Not Graduate,No,3765,125,360,1,Urban,N
LP001149,Male,Yes,0,Graduate,No,5400,290,360,1,Urban,N
LP001153,Male,No,0,Graduate,No,0,148,360,0,Rural,Y
LP001163,Male,Yes,2,Graduate,No,4363,140,360,,Urban,Y
LP001169,Male,Yes,0,Graduate,No,7500,275,360,1,Urban,Y
LP001174,Male,Yes,0,Graduate,No,3772,57,360,,Semiurban,N
LP001176,Male,No,0,Graduate,No,2942,125,180,1,Urban,Y
