feature,importance_mean,importance_std
capital.gain,0.05931006244241986,0.001999755196405569
age,0.05000511823113929,0.0025775769762813065
capital.loss,0.016378339645818384,0.0008900425885672682
fnlwgt,0.008312007370252816,0.001961451486501057
education.num,0.0077797113317637275,0.0018034775756409231
native.country_China,0.0,0.0
native.country_Guatemala,0.0,0.0
native.country_Greece,0.0,0.0
native.country_Germany,0.0,0.0
native.country_France,0.0,0.0
native.country_England,0.0,0.0
native.country_El-Salvador,0.0,0.0
native.country_Ecuador,0.0,0.0
native.country_Dominican-Republic,0.0,0.0
native.country_Cuba,0.0,0.0
native.country_Columbia,0.0,0.0
native.country_?,0.0,0.0
native.country_Canada,0.0,0.0
native.country_Cambodia,0.0,0.0
native.country_Holand-Netherlands,0.0,0.0
sex_Male,0.0,0.0
sex_Female,0.0,0.0
race_White,0.0,0.0
race_Other,0.0,0.0
race_Black,0.0,0.0
race_Asian-Pac-Islander,0.0,0.0
race_Amer-Indian-Eskimo,0.0,0.0
relationship_Wife,0.0,0.0
native.country_Haiti,0.0,0.0
native.country_Hong,0.0,0.0
native.country_Honduras,0.0,0.0
relationship_Own-child,0.0,0.0
native.country_Vietnam,0.0,0.0
native.country_United-States,0.0,0.0
native.country_Trinadad&Tobago,0.0,0.0
native.country_Thailand,0.0,0.0
native.country_Taiwan,0.0,0.0
native.country_South,0.0,0.0
native.country_Scotland,0.0,0.0
native.country_Puerto-Rico,0.0,0.0
native.country_Portugal,0.0,0.0
native.country_Poland,0.0,0.0
native.country_Philippines,0.0,0.0
native.country_Peru,0.0,0.0
native.country_Outlying-US(Guam-USVI-etc),0.0,0.0
native.country_Nicaragua,0.0,0.0
native.country_Mexico,0.0,0.0
native.country_Laos,0.0,0.0
native.country_Japan,0.0,0.0
native.country_Jamaica,0.0,0.0
native.country_Italy,0.0,0.0
native.country_Ireland,0.0,0.0
native.country_Iran,0.0,0.0
native.country_India,0.0,0.0
native.country_Hungary,0.0,0.0
relationship_Unmarried,0.0,0.0
relationship_Not-in-family,0.0,0.0
relationship_Other-relative,0.0,0.0
education_12th,0.0,0.0
education_Masters,0.0,0.0
education_HS-grad,0.0,0.0
education_Doctorate,0.0,0.0
education_Bachelors,0.0,0.0
education_Assoc-voc,0.0,0.0
education_Assoc-acdm,0.0,0.0
education_9th,0.0,0.0
education_7th-8th,0.0,0.0
education_5th-6th,0.0,0.0
education_1st-4th,0.0,0.0
education_11th,0.0,0.0
relationship_Husband,0.0,0.0
education_10th,0.0,0.0
workclass_Without-pay,0.0,0.0
workclass_State-gov,0.0,0.0
workclass_Self-emp-not-inc,0.0,0.0
workclass_Self-emp-inc,0.0,0.0
workclass_Private,0.0,0.0
workclass_Never-worked,0.0,0.0
workclass_Local-gov,0.0,0.0
workclass_Federal-gov,0.0,0.0
workclass_?,0.0,0.0
education_Preschool,0.0,0.0
education_Prof-school,0.0,0.0
education_Some-college,0.0,0.0
marital.status_Divorced,0.0,0.0
occupation_Transport-moving,0.0,0.0
occupation_Tech-support,0.0,0.0
occupation_Sales,0.0,0.0
occupation_Protective-serv,0.0,0.0
occupation_Prof-specialty,0.0,0.0
occupation_Priv-house-serv,0.0,0.0
occupation_Other-service,0.0,0.0
occupation_Machine-op-inspct,0.0,0.0
occupation_Handlers-cleaners,0.0,0.0
occupation_Farming-fishing,0.0,0.0
occupation_Exec-managerial,0.0,0.0
occupation_Craft-repair,0.0,0.0
occupation_Armed-Forces,0.0,0.0
occupation_Adm-clerical,0.0,0.0
occupation_?,0.0,0.0
marital.status_Widowed,0.0,0.0
marital.status_Separated,0.0,0.0
marital.status_Never-married,0.0,0.0
marital.status_Married-spouse-absent,0.0,0.0
marital.status_Married-civ-spouse,0.0,0.0
marital.status_Married-AF-spouse,0.0,0.0
native.country_Yugoslavia,0.0,0.0
hours.per.week,-0.001627597502303213,0.0017985030173682636
